Product,Unit_Number,Device_Manufacturer,Device,CT,Contract_Number,Business_Part,Contract_Type,Call_Base_Address,Call_Base_Postcode,Call_Base_Location,Call_Base_House_Number,Date_of_Obligation_Effort,Next_Maintenance,Year_of_Construction,Reference,Device_Condition,Expansion_Tank_Condition,Flue_Gas_Discharge_Condition,Air_Supply_Condition,Appendages_Condition,Maintenance_Frequency,Date_Maintenance_Performed,CallNumberPre,CallNumberExt,LogDate,STATUS,Location,PRODUCT,UnitNr,CallType,PlanDate,ContractNr,POSTCODE,HouseNr,Description,TechRemark,CALL_PREFIX,CALL_SUFFIX,FAULT_CODE,CREATE_DATE,Duration_From_Installation,Duration_CREATE_DATE,Event,Expansion_Tank_Condition_binned_medium,Expansion_Tank_Condition_binned_high,Expansion_Tank_Condition_time
REM000090260    ,201801010704,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z345      ,E0018712    ,Z,ZAAM WONEN ALL IN 1X/ 2 JR OH ,HAYWEGHENSTRAAT 12                      ,6171 HD             ,STEIN LB                                ,0012      ,2023-05-22,OHGO,1970-01-01 00:00:00.000002016,ZOLDER,1.0,1.0,1.0,1.0,1.0,24M ,2023-05-22,4906720.0,1.0,2021-01-17,AFGESLOTEN,lo00424707,REM000090260    ,201801010704             ,OHGO            ,2021-07-13,E0018712    ,6171 HD             ,0012      ,ONDERHOUD UITVOEREN                               ,bij volgende afspraak gasblok vv                  ,4906720.0,1.0,12700,2021-08-02,855,658,1,False,False,855.0
REM000000042    ,2478179775,REMEHA         ,REMEHA HRC AVANTA                                 ,Z304      ,E0009508    ,Z,ZCS+ WSTG.MEERSSEN 1X/2 JR OH ,PAPENWEG 29                             ,6241 BR             ,BUNDE                                   ,0029      ,2022-10-19,OHGO,1970-01-01 00:00:00.000002006,BERGING,1.0,1.0,1.0,1.0,1.0,24M ,2022-10-19,4840311.0,1.0,2020-11-16,AFGESLOTEN,lo00272957,REM000000042    ,2478179775               ,ST              ,2020-11-19,E0009508    ,6241 BR             ,0029      ,"B 30 MIN VTV 0643097479, WATERDRUK ZAKT ERG SNEL, ",wisselaar lekt                                    ,4840311.0,2.0,19941,2020-11-20,702,698,1,False,False,702.0
REM000090259    ,1129403204310,REMEHA         ,REMEHA HRC AVANTA 24 C CW3                        ,Z200      ,E0020374    ,Z,ZAKELIJK COMFORT SERVICE      ,ECONOMIESTRAAT 39                       ,6433 KC             ,HOENSBROEK                              ,0039      ,2023-09-15,OHKL,1970-01-01 00:00:00.000002011,UNIT 9,2.0,1.0,2.0,2.0,2.0,12M ,2023-09-15,5261273.0,1.0,2023-04-19,AFGESLOTEN,lo00520816,REM000090259    ,1129403204310            ,ST              ,2023-04-19,E0020374    ,6433 KC             ,0039      ,"MELDEN BIJ UNIT 2 ! UNIT 7 EN 9 GCV, VVV, GEEN    ",betreft unit 7                                    ,5261273.0,1.0,12700,2023-04-19,149,149,1,False,False,149.0
REM000090260    ,2010011402,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z336      ,E0009559    ,Z,WONEN ZUID ALL-IN 1X/2JR OH   ,TULPSTRAAT 106                          ,6361 JD             ,NUTH                                    ,0106      ,2022-08-29,OHKL,1970-01-01 00:00:00.000002011,BENEDENVERD,1.0,1.0,1.0,1.0,1.0,24M ,2022-08-29,4604986.0,1.0,2019-02-17,AFGESLOTEN,lo00506322,REM000090260    ,2010011402               ,ST              ,2019-03-05,E0009559    ,6361 JD             ,0106      ,AT ONDERHOUD UITVOEREN THERMOSTAAT HAALT GEWENSTE ,"Kt moest hoger gezet worden, 22 graden in huis    ",4604986.0,1.0,27400,2019-03-05,1289,1273,1,False,False,1289.0
REM000090260    ,ZI00000202,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z336      ,E0009559    ,Z,WONEN ZUID ALL-IN 1X/2JR OH   ,BARBARASTRAAT 23                        ,6361 VK             ,NUTH                                    ,0023      ,2023-07-07,OHGO,1970-01-01 00:00:00.000002010,ZOLDER,1.0,1.0,1.0,1.0,1.0,24M ,2023-07-07,4791390.0,1.0,2020-04-24,AFGESLOTEN,lo00506371,REM000090260    ,ZI00000202               ,ST              ,2020-04-29,E0009559    ,6361 VK             ,0023      ," LAWAAIKLACHTEN NA WW AFNAME, GEEN ZIEKEN IN HUIS,",Luchtbuis in tst los/hersteld                     ,4791390.0,1.0,12700,2020-04-29,1169,1164,1,False,False,1169.0
REM000090260    ,1201103731460,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z336      ,E0009559    ,Z,WONEN ZUID ALL-IN 1X/2JR OH   ,HORENWEG 21                             ,6361 GC             ,NUTH                                    ,0021      ,2023-06-21,OHGO,1970-01-01 00:00:00.000002010,ZOLDER,2.0,1.0,1.0,1.0,2.0,24M ,2023-06-21,5229423.0,1.0,2023-02-02,AFGESLOTEN,lo00506255,REM000090260    ,1201103731460            ,OHKL            ,2023-06-21,E0009559    ,6361 GC             ,0021      ,ONDERHOUD KLEIN                                   ,oh verplaatst van juni naar okt.ivm hitte.        ,5229423.0,1.0,17022,2023-06-21,139,0,1,False,False,139.0
REM000090260    ,0934507995550,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,2100      ,50119426    ,P,COMFORT                       ,FORCADENTSTRAAT 72-C                    ,6217 AG             ,MAASTRICHT                              ,0072-C    ,2022-09-05,OHKL,1970-01-01 00:00:00.000002009,GANG,1.0,1.0,1.0,1.0,2.0,24M ,2022-09-05,4939272.0,1.0,2021-05-01,AFGESLOTEN,lo00494543,REM000090260    ,0934507995550            ,ST              ,2021-05-06,50119426    ,6217 AG             ,0072-C    ,GASDRUKVERLIES GEMETEN DOOR INSTALLATEUR BIJ      ,"gasleiding afgeperst, binnen de norm (2mb/1min)   ",4939272.0,1.0,24700,2021-05-06,492,487,1,False,False,492.0
REM000090260    ,201801011691,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z345      ,E0018712    ,Z,ZAAM WONEN ALL IN 1X/ 2 JR OH ,MEERDEL 39                              ,6181 KS             ,ELSLOO LB                               ,0039      ,2023-07-20,OHGO,1970-01-01 00:00:00.000002016,BERGING,1.0,1.0,1.0,1.0,2.0,24M ,2023-07-20,4560038.0,1.0,2018-11-14,AFGESLOTEN,lo00283972,REM000090260    ,201801011691             ,ST              ,2018-11-15,E0018712    ,6181 KS             ,0039      , AM MAAKT LOEIEND GELUID BIJ AANSLAAN + BIJVULLEN ,geen geluid geconstateerd                         ,4560038.0,1.0,17022,2018-11-15,1709,1708,1,False,False,1709.0
REM000090260    ,108001988590,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,1200      ,50113834    ,P,BASIS 24 M                    ,VEEWEIDE 43                             ,6049 LS             ,HERTEN                                  ,0043      ,2022-07-04,OHGO,1970-01-01 00:00:00.000002011,ZOLDER,1.0,1.0,2.0,4.0,2.0,24M ,2022-07-04,4812685.0,1.0,2020-08-07,AFGESLOTEN,lo00516148,REM000090260    ,108001988590             ,ST              ,2020-08-07,50113834    ,6049 LS             ,0043      ,CO MELDER GAAT AF. 0615052780                     ,"toestel gecontroleerd,  in orde                   ",4812685.0,1.0,32500,2020-08-07,696,696,1,False,False,696.0
REM000090260    ,1913621369640,REMEHA         ,REMEHA HRC AVANTA 28 C CW4                        ,Z200      ,E0003367    ,Z,ZAKELIJK COMFORT SERVICE      ,KRUINWEG 1-H90                          ,6369 TZ             ,SIMPELVELD                              ,0001-H90  ,2023-10-02,OHKL,1970-01-01 00:00:00.000002019,BERGING,1.0,1.0,1.0,1.0,1.0,12M ,2023-10-02,4427033.0,1.0,2017-12-11,AFGESLOTEN,lo00018997,REM000090260    ,1913621369640            ,OHGO            ,2017-12-11,E0003367    ,6369 TZ             ,0001-H90  ,ONDERHOUD GROOT                                   ,bezet                                             ,4427033.0,1.0,30500,2017-12-11,2121,2121,1,False,False,2121.0
